,User,Compound,Negative,Neutral,Positive,Time Stamp,Tweets Ago
99,@CNN,0.8271,0.617,0.0,0.383,Wed Jun 13 18:40:08 +0000 2018,99
100,@BBCWorld,-0.7964,0.559,0.441,0.0,Thu Jun 14 04:51:31 +0000 2018,0
101,@BBCWorld,0.34,0.789,0.0,0.211,Thu Jun 14 04:09:28 +0000 2018,1
102,@BBCWorld,0.0,1.0,0.0,0.0,Thu Jun 14 03:24:52 +0000 2018,2
103,@BBCWorld,0.0,1.0,0.0,0.0,Thu Jun 14 03:23:25 +0000 2018,3
104,@BBCWorld,-0.4404,0.674,0.326,0.0,Thu Jun 14 03:07:07 +0000 2018,4
105,@BBCWorld,0.0,1.0,0.0,0.0,Thu Jun 14 03:02:24 +0000 2018,5
106,@BBCWorld,0.2263,0.762,0.099,0.139,Thu Jun 14 02:56:59 +0000 2018,6
107,@BBCWorld,0.296,0.905,0.0,0.095,Thu Jun 14 02:52:33 +0000 2018,7
108,@BBCWorld,-0.4404,0.432,0.362,0.205,Thu Jun 14 02:48:20 +0000 2018,8
109,@BBCWorld,0.0,1.0,0.0,0.0,Thu Jun 14 00:57:43 +0000 2018,9
110,@BBCWorld,-0.34,0.673,0.327,0.0,Thu Jun 14 00:45:55 +0000 2018,10
111,@BBCWorld,0.6124,0.545,0.0,0.455,Thu Jun 14 00:41:06 +0000 2018,11
112,@BBCWorld,0.0,1.0,0.0,0.0,Thu Jun 14 00:31:46 +0000 2018,12
113,@BBCWorld,0.0,1.0,0.0,0.0,Thu Jun 14 00:13:23 +0000 2018,13
114,@BBCWorld,-0.8074,0.339,0.537,0.124,Wed Jun 13 23:51:30 +0000 2018,14
115,@BBCWorld,-0.5719,0.561,0.439,0.0,Wed Jun 13 23:25:33 +0000 2018,15
116,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 23:18:26 +0000 2018,16
117,@BBCWorld,-0.4019,0.769,0.231,0.0,Wed Jun 13 23:18:26 +0000 2018,17
118,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 23:18:26 +0000 2018,18
119,@BBCWorld,-0.4404,0.734,0.266,0.0,Wed Jun 13 22:52:54 +0000 2018,19
120,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 21:38:35 +0000 2018,20
121,@BBCWorld,-0.7003,0.547,0.453,0.0,Wed Jun 13 21:10:03 +0000 2018,21
122,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 20:41:58 +0000 2018,22
123,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 19:14:01 +0000 2018,23
124,@BBCWorld,-0.2023,0.795,0.205,0.0,Wed Jun 13 19:11:55 +0000 2018,24
125,@BBCWorld,-0.6249,0.594,0.406,0.0,Wed Jun 13 17:58:43 +0000 2018,25
126,@BBCWorld,-0.7906,0.588,0.412,0.0,Wed Jun 13 17:41:43 +0000 2018,26
127,@BBCWorld,-0.4404,0.756,0.244,0.0,Wed Jun 13 17:18:14 +0000 2018,27
128,@BBCWorld,-0.6808,0.662,0.338,0.0,Wed Jun 13 17:13:31 +0000 2018,28
129,@BBCWorld,0.3818,0.776,0.0,0.224,Wed Jun 13 17:09:00 +0000 2018,29
130,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 16:17:23 +0000 2018,30
131,@BBCWorld,0.2732,0.913,0.0,0.087,Wed Jun 13 15:50:38 +0000 2018,31
132,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 15:45:28 +0000 2018,32
133,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 15:30:36 +0000 2018,33
134,@BBCWorld,0.1511,0.85,0.0,0.15,Wed Jun 13 14:55:27 +0000 2018,34
135,@BBCWorld,-0.3612,0.619,0.268,0.113,Wed Jun 13 14:42:51 +0000 2018,35
136,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 14:19:23 +0000 2018,36
137,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 13:37:54 +0000 2018,37
138,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 13:09:41 +0000 2018,38
139,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 12:26:58 +0000 2018,39
140,@BBCWorld,-0.5574,0.859,0.141,0.0,Wed Jun 13 12:25:44 +0000 2018,40
141,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 12:17:30 +0000 2018,41
